Date,Open,High,Low,Close,Volume,Adj Close
1992-10-28,326.67,326.67,326.67,326.67,000,234.10
1992-10-27,323.92,323.92,323.92,323.92,000,232.13
1992-10-26,327.17,327.17,327.17,327.17,000,234.46
1992-10-23,325.44,325.44,325.44,325.44,000,233.22
1992-10-22,326.09,326.09,326.09,326.09,000,233.68
1992-10-21,326.07,326.07,326.07,326.07,000,233.67
1992-10-20,323.38,323.38,323.38,323.38,000,231.74
1992-10-19,322.78,322.78,322.78,322.78,000,231.31
1992-10-16,316.38,316.38,316.38,316.38,000,226.73
1992-10-15,312.13,312.13,312.13,312.13,000,223.68
1992-10-14,309.58,309.58,309.58,309.58,000,221.85
1992-10-13,310.13,310.13,310.13,310.13,000,222.25
1992-10-12,308.10,308.10,308.10,308.10,000,220.79
1992-10-09,305.63,305.63,305.63,305.63,000,219.02
1992-10-08,308.35,308.35,308.35,308.35,000,220.97
1992-10-07,305.38,305.38,305.38,305.38,000,218.84
1992-10-06,307.96,307.96,307.96,307.96,000,220.69
1992-10-05,303.68,303.68,303.68,303.68,000,217.62
1992-10-02,304.39,304.39,304.39,304.39,000,218.13
1992-10-01,309.03,309.03,309.03,309.03,000,221.46
1992-09-30,313.18,313.18,313.18,313.18,000,224.43
1992-09-29,310.65,310.65,310.65,310.65,000,222.62
1992-09-28,307.87,307.87,307.87,307.87,000,220.63
1992-09-25,310.22,310.22,310.22,310.22,000,222.31
1992-09-24,317.53,317.53,317.53,317.53,000,227.55
1992-09-23,315.81,315.81,315.81,315.81,000,226.32
1992-09-22,314.27,314.27,314.27,314.27,000,225.21
1992-09-21,319.25,319.25,319.25,319.25,000,228.78
1992-09-18,319.91,319.91,319.91,319.91,000,229.26
1992-09-17,319.23,319.23,319.23,319.23,000,228.77
1992-09-16,318.44,318.44,318.44,318.44,000,228.20
1992-09-15,319.88,319.88,319.88,319.88,000,229.23
1992-09-14,324.63,324.63,324.63,324.63,000,232.64
1992-09-11,315.19,315.19,315.19,315.19,000,225.87
1992-09-10,314.81,314.81,314.81,314.81,000,225.60
1992-09-09,309.99,309.99,309.99,309.99,000,222.15
1992-09-08,305.77,305.77,305.77,305.77,000,219.12
1992-09-07,306.39,306.39,306.39,306.39,000,219.57
1992-09-04,306.39,306.39,306.39,306.39,000,219.57
1992-09-03,308.17,308.17,308.17,308.17,000,220.84
1992-09-02,306.56,306.56,306.56,306.56,000,219.69
1992-09-01,301.97,301.97,301.97,301.97,000,216.40
1992-08-31,299.26,299.26,299.26,299.26,000,214.46
1992-08-28,299.13,299.13,299.13,299.13,000,214.36
1992-08-27,299.46,299.46,299.46,299.46,000,214.60
1992-08-26,296.20,296.20,296.20,296.20,000,212.26
1992-08-25,292.08,292.08,292.08,292.08,000,209.31
1992-08-24,290.71,290.71,290.71,290.71,000,208.33
1992-08-21,295.69,295.69,295.69,295.69,000,211.90
1992-08-20,299.42,299.42,299.42,299.42,000,214.57
1992-08-19,298.31,298.31,298.31,298.31,000,213.78
1992-08-18,300.44,300.44,300.44,300.44,000,215.30
1992-08-17,300.38,300.38,300.38,300.38,000,215.26
1992-08-14,302.23,302.23,302.23,302.23,000,216.59
1992-08-13,301.27,301.27,301.27,301.27,000,215.90
1992-08-12,300.95,300.95,300.95,300.95,000,215.67
1992-08-11,302.51,302.51,302.51,302.51,000,216.79
1992-08-10,304.23,304.23,304.23,304.23,000,218.02
1992-08-07,303.31,303.31,303.31,303.31,000,217.36
1992-08-06,304.56,304.56,304.56,304.56,000,218.25
1992-08-05,306.58,306.58,306.58,306.58,000,219.70
1992-08-04,311.07,311.07,311.07,311.07,000,222.92
1992-08-03,312.75,312.75,312.75,312.75,000,224.12
1992-07-31,310.89,310.89,310.89,310.89,000,222.79
1992-07-30,310.93,310.93,310.93,310.93,000,222.82
1992-07-29,310.10,310.10,310.10,310.10,000,222.22
1992-07-28,306.75,306.75,306.75,306.75,000,219.82
1992-07-27,301.84,301.84,301.84,301.84,000,216.31
1992-07-24,303.42,303.42,303.42,303.42,000,217.44
1992-07-23,302.49,302.49,302.49,302.49,000,216.77
1992-07-22,301.17,301.17,301.17,301.17,000,215.83
1992-07-21,305.10,305.10,305.10,305.10,000,218.64
1992-07-20,300.44,300.44,300.44,300.44,000,215.30
1992-07-17,305.54,305.54,305.54,305.54,000,218.96
1992-07-16,311.28,311.28,311.28,311.28,000,223.07
1992-07-15,309.39,309.39,309.39,309.39,000,221.72
1992-07-14,309.24,309.24,309.24,309.24,000,221.61
1992-07-13,304.98,304.98,304.98,304.98,000,218.56
1992-07-10,302.83,302.83,302.83,302.83,000,217.02
1992-07-09,302.19,302.19,302.19,302.19,000,216.56
1992-07-08,297.56,297.56,297.56,297.56,000,213.24
1992-07-07,296.26,296.26,296.26,296.26,000,212.31
1992-07-06,302.40,302.40,302.40,302.40,000,216.71
1992-07-03,300.87,300.87,300.87,300.87,000,215.61
1992-07-02,300.87,300.87,300.87,300.87,000,215.61
1992-07-01,306.03,306.03,306.03,306.03,000,219.31
1992-06-30,301.23,301.23,301.23,301.23,000,215.87
1992-06-29,300.79,300.79,300.79,300.79,000,215.55
1992-06-26,290.03,290.03,290.03,290.03,000,207.84
1992-06-25,291.25,291.25,291.25,291.25,000,208.72
1992-06-24,295.29,295.29,295.29,295.29,000,211.61
1992-06-23,297.44,297.44,297.44,297.44,000,213.15
1992-06-22,295.24,295.24,295.24,295.24,000,211.58
1992-06-19,296.86,296.86,296.86,296.86,000,212.74
1992-06-18,291.93,291.93,291.93,291.93,000,209.20
1992-06-17,293.40,293.40,293.40,293.40,000,210.26
1992-06-16,299.20,299.20,299.20,299.20,000,214.41
1992-06-15,303.86,303.86,303.86,303.86,000,217.75
1992-06-12,304.11,304.11,304.11,304.11,000,217.93
1992-06-11,302.57,302.57,302.57,302.57,000,216.83
1992-06-10,302.60,302.60,302.60,302.60,000,216.85
1992-06-09,304.85,304.85,304.85,304.85,000,218.46
1992-06-08,310.23,310.23,310.23,310.23,000,222.32
1992-06-05,313.24,313.24,313.24,313.24,000,224.48
1992-06-04,315.93,315.93,315.93,315.93,000,226.40
1992-06-03,317.34,317.34,317.34,317.34,000,227.41
1992-06-02,317.23,317.23,317.23,317.23,000,227.33
1992-06-01,318.98,318.98,318.98,318.98,000,228.59
1992-05-29,315.29,315.29,315.29,315.29,000,225.94
1992-05-28,311.98,311.98,311.98,311.98,000,223.57
1992-05-27,308.07,308.07,308.07,308.07,000,220.77
1992-05-26,305.89,305.89,305.89,305.89,000,219.21
1992-05-25,308.38,308.38,308.38,308.38,000,220.99
1992-05-22,308.38,308.38,308.38,308.38,000,220.99
1992-05-21,307.94,307.94,307.94,307.94,000,220.68
1992-05-20,309.55,309.55,309.55,309.55,000,221.83
1992-05-19,306.41,306.41,306.41,306.41,000,219.58
1992-05-18,304.57,304.57,304.57,304.57,000,218.26
1992-05-15,303.01,303.01,303.01,303.01,000,217.14
1992-05-14,304.54,304.54,304.54,304.54,000,218.24
1992-05-13,308.75,308.75,308.75,308.75,000,221.26
1992-05-12,310.04,310.04,310.04,310.04,000,222.18
1992-05-11,311.90,311.90,311.90,311.90,000,223.51
1992-05-08,311.26,311.26,311.26,311.26,000,223.06
1992-05-07,312.72,312.72,312.72,312.72,000,224.10
1992-05-06,315.10,315.10,315.10,315.10,000,225.81
1992-05-05,314.77,314.77,314.77,314.77,000,225.57
1992-05-04,310.71,310.71,310.71,310.71,000,222.66
1992-05-01,307.47,307.47,307.47,307.47,000,220.34
1992-04-30,307.86,307.86,307.86,307.86,000,220.62
1992-04-29,302.97,302.97,302.97,302.97,000,217.12
1992-04-28,294.62,294.62,294.62,294.62,000,211.13
1992-04-27,299.65,299.65,299.65,299.65,000,214.74
1992-04-24,303.81,303.81,303.81,303.81,000,217.72
1992-04-23,307.52,307.52,307.52,307.52,000,220.38
1992-04-22,309.54,309.54,309.54,309.54,000,221.82
1992-04-21,305.62,305.62,305.62,305.62,000,219.01
1992-04-20,307.87,307.87,307.87,307.87,000,220.63
1992-04-17,319.23,319.23,319.23,319.23,000,228.77
1992-04-16,319.23,319.23,319.23,319.23,000,228.77
1992-04-15,326.07,326.07,326.07,326.07,000,233.67
1992-04-14,320.55,320.55,320.55,320.55,000,229.71
1992-04-13,317.15,317.15,317.15,317.15,000,227.28
1992-04-10,312.98,312.98,312.98,312.98,000,224.29
1992-04-09,319.53,319.53,319.53,319.53,000,228.98
1992-04-08,310.85,310.85,310.85,310.85,000,222.76
1992-04-07,312.95,312.95,312.95,312.95,000,224.27
1992-04-06,324.55,324.55,324.55,324.55,000,232.58
1992-04-03,316.38,316.38,316.38,316.38,000,226.73
1992-04-02,317.66,317.66,317.66,317.66,000,227.64
1992-04-01,323.91,323.91,323.91,323.91,000,232.12
1992-03-31,323.05,323.05,323.05,323.05,000,231.51
1992-03-30,322.35,322.35,322.35,322.35,000,231.00
1992-03-27,324.22,324.22,324.22,324.22,000,232.34
1992-03-26,333.29,333.29,333.29,333.29,000,238.84
1992-03-25,337.65,337.65,337.65,337.65,000,241.97
1992-03-24,336.93,336.93,336.93,336.93,000,241.45
1992-03-23,339.03,339.03,339.03,339.03,000,242.96
1992-03-20,340.86,340.86,340.86,340.86,000,244.27
1992-03-19,342.55,342.55,342.55,342.55,000,245.48
1992-03-18,342.62,342.62,342.62,342.62,000,245.53
1992-03-17,342.92,342.92,342.92,342.92,000,245.74
1992-03-16,338.27,338.27,338.27,338.27,000,242.41
1992-03-13,336.47,336.47,336.47,336.47,000,241.12
1992-03-12,334.83,334.83,334.83,334.83,000,239.95
1992-03-11,335.04,335.04,335.04,335.04,000,240.10
1992-03-10,340.32,340.32,340.32,340.32,000,243.88
1992-03-09,333.31,333.31,333.31,333.31,000,238.86
1992-03-06,333.00,333.00,333.00,333.00,000,238.64
1992-03-05,337.52,337.52,337.52,337.52,000,241.87
1992-03-04,341.61,341.61,341.61,341.61,000,244.81
1992-03-03,345.70,345.70,345.70,345.70,000,247.74
1992-03-02,346.63,346.63,346.63,346.63,000,248.40
1992-02-28,345.88,345.88,345.88,345.88,000,247.87
1992-02-27,347.39,347.39,347.39,347.39,000,248.95
1992-02-26,347.81,347.81,347.81,347.81,000,249.25
1992-02-25,338.33,338.33,338.33,338.33,000,242.46
1992-02-24,338.96,338.96,338.96,338.96,000,242.91
1992-02-21,342.39,342.39,342.39,342.39,000,245.36
1992-02-20,345.33,345.33,345.33,345.33,000,247.47
1992-02-19,338.06,338.06,338.06,338.06,000,242.26
1992-02-18,338.54,338.54,338.54,338.54,000,242.61
1992-02-17,346.69,346.69,346.69,346.69,000,248.45
1992-02-14,346.69,346.69,346.69,346.69,000,248.45
1992-02-13,349.81,349.81,349.81,349.81,000,250.68
1992-02-12,355.97,355.97,355.97,355.97,000,255.10
1992-02-11,344.40,344.40,344.40,344.40,000,246.81
1992-02-10,345.23,345.23,345.23,345.23,000,247.40
1992-02-07,346.80,346.80,346.80,346.80,000,248.53
1992-02-06,349.07,349.07,349.07,349.07,000,250.15
1992-02-05,350.86,350.86,350.86,350.86,000,251.43
1992-02-04,346.91,346.91,346.91,346.91,000,248.60
1992-02-03,341.38,341.38,341.38,341.38,000,244.64
1992-01-31,338.31,338.31,338.31,338.31,000,242.44
1992-01-30,338.38,338.38,338.38,338.38,000,242.49
1992-01-29,337.29,337.29,337.29,337.29,000,241.71
1992-01-28,340.84,340.84,340.84,340.84,000,244.25
1992-01-27,340.48,340.48,340.48,340.48,000,244.00
1992-01-24,345.45,345.45,345.45,345.45,000,247.56
1992-01-23,346.07,346.07,346.07,346.07,000,248.00
1992-01-22,346.32,346.32,346.32,346.32,000,248.18
1992-01-21,328.04,328.04,328.04,328.04,000,235.08
1992-01-20,341.81,341.81,341.81,341.81,000,244.95
1992-01-17,349.73,349.73,349.73,349.73,000,250.62
1992-01-16,351.91,351.91,351.91,351.91,000,252.19
1992-01-15,355.59,355.59,355.59,355.59,000,254.82
1992-01-14,352.59,352.59,352.59,352.59,000,252.67
1992-01-13,348.26,348.26,348.26,348.26,000,249.57
1992-01-10,347.11,347.11,347.11,347.11,000,248.75
1992-01-09,350.32,350.32,350.32,350.32,000,251.05
1992-01-08,344.29,344.29,344.29,344.29,000,246.73
1992-01-07,339.64,339.64,339.64,339.64,000,243.39
1992-01-06,336.89,336.89,336.89,336.89,000,241.42
1992-01-03,334.82,334.82,334.82,334.82,000,239.94
1992-01-02,333.36,333.36,333.36,333.36,000,238.89
1991-12-31,330.85,330.85,330.85,330.85,000,237.09
1991-12-30,326.73,326.73,326.73,326.73,000,234.14
1991-12-27,316.77,316.77,316.77,316.77,000,227.00
1991-12-26,313.68,313.68,313.68,313.68,000,224.79
1991-12-25,307.08,307.08,307.08,307.08,000,220.06
1991-12-24,307.08,307.08,307.08,307.08,000,220.06
1991-12-23,303.29,303.29,303.29,303.29,000,217.34
1991-12-20,295.82,295.82,295.82,295.82,000,211.99
1991-12-19,294.53,294.53,294.53,294.53,000,211.07
1991-12-18,299.61,299.61,299.61,299.61,000,214.71
1991-12-17,298.88,298.88,298.88,298.88,000,214.18
1991-12-16,303.02,303.02,303.02,303.02,000,217.15
1991-12-13,301.33,301.33,301.33,301.33,000,215.94
1991-12-12,297.97,297.97,297.97,297.97,000,213.53
1991-12-11,294.84,294.84,294.84,294.84,000,211.29
1991-12-10,296.32,296.32,296.32,296.32,000,212.35
1991-12-09,295.77,295.77,295.77,295.77,000,211.96
1991-12-06,296.14,296.14,296.14,296.14,000,212.22
1991-12-05,294.33,294.33,294.33,294.33,000,210.92
1991-12-04,295.11,295.11,295.11,295.11,000,211.48
1991-12-03,293.94,293.94,293.94,293.94,000,210.64
1991-12-02,293.93,293.93,293.93,293.93,000,210.64
1991-11-29,284.79,284.79,284.79,284.79,000,204.09
1991-11-28,285.22,285.22,285.22,285.22,000,204.40
1991-11-27,285.22,285.22,285.22,285.22,000,204.40
1991-11-26,284.13,284.13,284.13,284.13,000,203.61
1991-11-25,283.01,283.01,283.01,283.01,000,202.81
1991-11-22,286.32,286.32,286.32,286.32,000,205.18
1991-11-21,288.61,288.61,288.61,288.61,000,206.82
1991-11-20,285.20,285.20,285.20,285.20,000,204.38
1991-11-19,284.39,284.39,284.39,284.39,000,203.80
1991-11-18,288.59,288.59,288.59,288.59,000,206.81
1991-11-15,284.52,284.52,284.52,284.52,000,203.89
1991-11-14,301.04,301.04,301.04,301.04,000,215.73
1991-11-13,302.83,302.83,302.83,302.83,000,217.02
1991-11-12,301.96,301.96,301.96,301.96,000,216.39
1991-11-11,297.84,297.84,297.84,297.84,000,213.44
1991-11-08,295.55,295.55,295.55,295.55,000,211.80
1991-11-07,292.87,292.87,292.87,292.87,000,209.88
1991-11-06,289.43,289.43,289.43,289.43,000,207.41
1991-11-05,289.05,289.05,289.05,289.05,000,207.14
1991-11-04,286.93,286.93,286.93,286.93,000,205.62
1991-11-01,290.00,290.00,290.00,290.00,000,207.82
1991-10-31,292.50,292.50,292.50,292.50,000,209.61
1991-10-30,294.72,294.72,294.72,294.72,000,211.20
1991-10-29,290.08,290.08,290.08,290.08,000,207.88
1991-10-28,286.37,286.37,286.37,286.37,000,205.22
1991-10-25,282.94,282.94,282.94,282.94,000,202.76
1991-10-24,285.65,285.65,285.65,285.65,000,204.70
1991-10-23,289.34,289.34,289.34,289.34,000,207.35
1991-10-22,290.78,290.78,290.78,290.78,000,208.38
1991-10-21,290.86,290.86,290.86,290.86,000,208.44
1991-10-18,293.11,293.11,293.11,293.11,000,210.05
1991-10-17,292.46,292.46,292.46,292.46,000,209.58
1991-10-16,297.65,297.65,297.65,297.65,000,213.30
1991-10-15,293.31,293.31,293.31,293.31,000,210.19
1991-10-14,287.16,287.16,287.16,287.16,000,205.79
1991-10-11,281.50,281.50,281.50,281.50,000,201.73
1991-10-10,279.11,279.11,279.11,279.11,000,200.02
1991-10-09,276.51,276.51,276.51,276.51,000,198.15
1991-10-08,280.02,280.02,280.02,280.02,000,200.67
1991-10-07,278.89,278.89,278.89,278.89,000,199.86
1991-10-04,280.51,280.51,280.51,280.51,000,201.02
1991-10-03,280.41,280.41,280.41,280.41,000,200.95
1991-10-02,285.06,285.06,285.06,285.06,000,204.28
1991-10-01,288.37,288.37,288.37,288.37,000,206.65
1991-09-30,287.53,287.53,287.53,287.53,000,206.05
1991-09-27,285.94,285.94,285.94,285.94,000,204.91
1991-09-26,287.91,287.91,287.91,287.91,000,206.32
1991-09-25,288.99,288.99,288.99,288.99,000,207.10
1991-09-24,287.34,287.34,287.34,287.34,000,205.91
1991-09-23,284.86,284.86,284.86,284.86,000,204.14
1991-09-20,286.63,286.63,286.63,286.63,000,205.41
1991-09-19,283.51,283.51,283.51,283.51,000,203.17
1991-09-18,281.03,281.03,281.03,281.03,000,201.39
1991-09-17,278.09,278.09,278.09,278.09,000,199.29
1991-09-16,278.57,278.57,278.57,278.57,000,199.63
1991-09-13,279.49,279.49,279.49,279.49,000,200.29
1991-09-12,285.55,285.55,285.55,285.55,000,204.63
1991-09-11,279.65,279.65,279.65,279.65,000,200.40
1991-09-10,276.38,276.38,276.38,276.38,000,198.06
1991-09-09,281.34,281.34,281.34,281.34,000,201.61
1991-09-06,279.96,279.96,279.96,279.96,000,200.63
1991-09-05,280.73,280.73,280.73,280.73,000,201.18
1991-09-04,281.81,281.81,281.81,281.81,000,201.95
1991-09-03,284.33,284.33,284.33,284.33,000,203.76
1991-09-02,287.40,287.40,287.40,287.40,000,205.96
1991-08-30,287.40,287.40,287.40,287.40,000,205.96
1991-08-29,288.59,288.59,288.59,288.59,000,206.81
1991-08-28,289.87,289.87,289.87,289.87,000,207.73
1991-08-27,286.77,286.77,286.77,286.77,000,205.51
1991-08-26,286.70,286.70,286.70,286.70,000,205.46
1991-08-23,286.77,286.77,286.77,286.77,000,205.51
1991-08-22,284.55,284.55,284.55,284.55,000,203.92
1991-08-21,286.06,286.06,286.06,286.06,000,205.00
1991-08-20,274.20,274.20,274.20,274.20,000,196.50
1991-08-19,271.96,271.96,271.96,271.96,000,194.89
1991-08-16,279.51,279.51,279.51,279.51,000,200.30
1991-08-15,281.81,281.81,281.81,281.81,000,201.95
1991-08-14,284.72,284.72,284.72,284.72,000,204.04
1991-08-13,282.47,282.47,282.47,282.47,000,202.42
1991-08-12,280.25,280.25,280.25,280.25,000,200.83
1991-08-09,278.15,278.15,278.15,278.15,000,199.33
1991-08-08,278.76,278.76,278.76,278.76,000,199.77
1991-08-07,276.54,276.54,276.54,276.54,000,198.18
1991-08-06,274.74,274.74,274.74,274.74,000,196.89
1991-08-05,272.16,272.16,272.16,272.16,000,195.04
1991-08-02,275.47,275.47,275.47,275.47,000,197.41
1991-08-01,274.24,274.24,274.24,274.24,000,196.53
1991-07-31,272.15,272.15,272.15,272.15,000,195.03
1991-07-30,269.31,269.31,269.31,269.31,000,192.99
1991-07-29,264.62,264.62,264.62,264.62,000,189.63
1991-07-26,264.22,264.22,264.22,264.22,000,189.35
1991-07-25,261.20,261.20,261.20,261.20,000,187.18
1991-07-24,257.85,257.85,257.85,257.85,000,184.78
1991-07-23,259.32,259.32,259.32,259.32,000,185.83
1991-07-22,264.34,264.34,264.34,264.34,000,189.43
1991-07-19,266.92,266.92,266.92,266.92,000,191.28
1991-07-18,266.23,266.23,266.23,266.23,000,190.79
1991-07-17,263.38,263.38,263.38,263.38,000,188.74
1991-07-16,264.47,264.47,264.47,264.47,000,189.53
1991-07-15,268.90,268.90,268.90,268.90,000,192.70
1991-07-12,267.44,267.44,267.44,267.44,000,191.65
1991-07-11,263.84,263.84,263.84,263.84,000,189.07
1991-07-10,263.32,263.32,263.32,263.32,000,188.70
1991-07-09,260.68,260.68,260.68,260.68,000,186.81
1991-07-08,258.93,258.93,258.93,258.93,000,185.56
